industry,query_idx,engine,n,S_obs,Q1,chao2,rising,A1,A5,A10,A15,share5,share10,share15,a1_over_a5
healthtech,1,gpt-5.6-luna,15,3,1,3.0,True,1.27,2.07,2.64,3.0,0.69,0.882,1.0,0.612
ecommerce,0,mistral-large,15,5,0,5.0,False,3.2,4.31,4.88,5.0,0.862,0.977,1.0,0.743
saas,7,mistral-large,15,7,1,7.23,True,3.53,5.21,6.45,7.0,0.721,0.892,0.968,0.678
fintech,4,gpt-5.6-luna,15,6,0,6.0,False,5.13,5.57,5.9,6.0,0.929,0.984,1.0,0.921
fintech,2,claude-sonnet-5,15,3,0,3.0,False,2.93,3.0,3.0,3.0,1.0,1.0,1.0,0.978
healthtech,2,grok-4.5,15,4,0,4.0,False,3.13,3.57,3.9,4.0,0.893,0.976,1.0,0.877
consulting,6,mistral-large,15,11,2,11.93,True,8.27,9.66,10.33,11.0,0.81,0.866,0.922,0.855
consulting,0,grok-4.5,15,9,0,9.0,False,8.93,9.0,9.0,9.0,1.0,1.0,1.0,0.993
fintech,1,gpt-5.6-luna,15,3,0,3.0,False,1.93,2.91,3.0,3.0,0.971,1.0,1.0,0.663
saas,6,mistral-large,15,7,1,7.47,True,4.67,5.89,6.57,7.0,0.788,0.88,0.938,0.793
fintech,1,mistral-large,15,5,0,5.0,False,3.2,4.53,4.9,5.0,0.906,0.981,1.0,0.707
saas,3,gpt-5.6-luna,15,4,1,4.0,True,2.4,3.25,3.67,4.0,0.812,0.917,1.0,0.739
fintech,9,gemini-3.7-flash,15,6,1,6.0,True,4.07,5.29,5.67,6.0,0.882,0.944,1.0,0.769
saas,1,claude-sonnet-5,15,4,0,4.0,False,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0
saas,9,mistral-large,15,7,0,7.0,False,3.07,5.55,6.71,7.0,0.792,0.959,1.0,0.553
saas,8,gpt-5.6-luna,15,5,1,5.0,True,2.4,4.25,4.67,5.0,0.851,0.933,1.0,0.564
ecommerce,9,gpt-5.6-luna,15,4,1,4.0,True,1.8,3.06,3.64,4.0,0.766,0.911,1.0,0.588
fintech,0,gemini-3.7-flash,15,8,1,8.47,True,5.47,6.75,7.57,8.0,0.797,0.894,0.945,0.81
saas,5,gpt-5.6-luna,15,4,1,4.0,True,2.4,3.25,3.67,4.0,0.812,0.917,1.0,0.739
healthtech,4,mistral-large,15,4,1,4.0,True,2.33,3.18,3.66,4.0,0.795,0.916,1.0,0.734
consulting,8,mistral-large,15,4,0,4.0,False,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0
fintech,7,claude-sonnet-5,15,5,1,5.0,True,3.33,4.18,4.66,5.0,0.836,0.933,1.0,0.798
fintech,1,grok-4.5,15,4,0,4.0,False,3.13,3.57,3.9,4.0,0.893,0.976,1.0,0.877
healthtech,1,grok-4.5,15,4,0,4.0,False,2.93,3.98,4.0,4.0,0.995,1.0,1.0,0.737
consulting,5,gemini-3.7-flash,15,10,1,10.47,True,6.0,8.34,9.53,10.0,0.796,0.91,0.955,0.72
consulting,3,gpt-5.6-luna,15,9,1,9.0,True,7.8,8.33,8.67,9.0,0.926,0.963,1.0,0.936
saas,7,gpt-5.6-luna,15,4,0,4.0,False,3.8,4.0,4.0,4.0,1.0,1.0,1.0,0.95
saas,8,sonar,15,3,0,3.0,False,2.93,3.0,3.0,3.0,1.0,1.0,1.0,0.978
consulting,6,sonar,15,5,0,5.0,False,3.73,4.87,5.0,5.0,0.975,1.0,1.0,0.766
fintech,2,mistral-large,15,3,0,3.0,False,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0
ecommerce,2,mistral-large,15,5,0,5.0,False,3.07,4.14,4.81,5.0,0.829,0.962,1.0,0.74
fintech,7,sonar,15,3,0,3.0,False,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0
healthtech,5,claude-sonnet-5,15,3,0,3.0,False,1.4,2.83,3.0,3.0,0.944,1.0,1.0,0.494
saas,0,gemini-3.7-flash,15,5,0,5.0,False,3.53,4.72,4.98,5.0,0.944,0.996,1.0,0.749
healthtech,4,sonar,15,0,0,0.0,False,0.0,0.0,0.0,0.0,1.0,1.0,1.0,
